id|cover|images|name|location|category|price|type|leilao|description|discountPercent|avaliationPrice|original_url|modalidade de venda|UF|city|neighborhood|area
8444406534447|https://venda-imoveis.caixa.gov.br/fotos/F844440653444721.jpg|https://venda-imoveis.caixa.gov.br/fotos/F844440653444721.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844440653444722.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844440653444723.jpg|RUA DOM PEDRITO, N. 117, PARTE LT 09 CHACARA 02 QD 31|RUA DOM PEDRITO, N. 117, PARTE LT 09 CHACARA 02 QD 31, APARECIDA, ALVORADA - RS|Venda|R$ 221.921,19|Casa||Casa, 120.00 de área total, 120.00 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.|38.77|R$ 362.436,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406534447|Licitação Aberta|RS|ALVORADA|APARECIDA|120.00 m²
10218347|https://venda-imoveis.caixa.gov.br/fotos/F1021834721.jpg|https://venda-imoveis.caixa.gov.br/fotos/F1021834721.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1021834722.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1021834723.jpg|RUA MARIZ E BARROS (ANTIGA RUA A), N. 1062, QD 04, LT 13|RUA MARIZ E BARROS (ANTIGA RUA A), N. 1062, QD 04, LT 13, AMERICANA, ALVORADA - RS|Venda|R$ 232.619,72|Casa||Casa, 0.00 de área total, 184.82 de área privativa, 360.00 de área do terreno.|36.27|R$ 365.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10218347|Licitação Aberta|RS|ALVORADA|AMERICANA|184.82 m²
1444407314531|https://venda-imoveis.caixa.gov.br/fotos/F144440731453121.jpg|https://venda-imoveis.caixa.gov.br/fotos/F144440731453121.jpg;https://venda-imoveis.caixa.gov.br/fotos/F144440731453122.jpg;https://venda-imoveis.caixa.gov.br/fotos/F144440731453123.jpg|AVENIDA ELMIRA PEREIRA SILVEIRA, N. 1750, CS 01|AVENIDA ELMIRA PEREIRA SILVEIRA, N. 1750, CS 01, JARDIM ALGARVE, ALVORADA - RS|Venda|R$ 277.000,00|Casa||Casa, 0.00 de área total, 56.88 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.|0.0|R$ 277.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407314531|Leilão SFI - Edital Único|RS|ALVORADA|JARDIM ALGARVE|56.88 m²
1555532567310|https://venda-imoveis.caixa.gov.br/fotos/F155553256731021.jpg|https://venda-imoveis.caixa.gov.br/fotos/F155553256731021.jpg;https://venda-imoveis.caixa.gov.br/fotos/F155553256731022.jpg;https://venda-imoveis.caixa.gov.br/fotos/F155553256731023.jpg|ACESSO TERRA NOVA, N. 501, CASA 130 TIPO C ACESSO VIA RUA 02|ACESSO TERRA NOVA, N. 501, CASA 130 TIPO C ACESSO VIA RUA 02, TERRA NOVA, ALVORADA - RS|Venda|R$ 270.000,00|Casa||Casa, 67.17 de área total, 65.55 de área privativa, 100.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.|0.0|R$ 260.900,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555532567310|Leilão SFI - Edital Único|RS|ALVORADA|TERRA NOVA|65.55 m²
8444432054716|https://venda-imoveis.caixa.gov.br/fotos/F844443205471621.jpg|https://venda-imoveis.caixa.gov.br/fotos/F844443205471621.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844443205471622.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844443205471623.jpg|RUA  152, N. 202, Apto 204,|RUA  152, N. 202, Apto 204,, JARDIM ALGARVE, ALVORADA - RS|Venda|R$ 160.000,00|Apartamento||Apartamento, 36.36 de área total, 30.56 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.|0.0|R$ 150.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432054716|Leilão SFI - Edital Único|RS|ALVORADA|JARDIM ALGARVE|30.56 m²
8444437103006|https://venda-imoveis.caixa.gov.br/fotos/F844443710300621.jpg|https://venda-imoveis.caixa.gov.br/fotos/F844443710300621.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844443710300622.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844443710300623.jpg|RUA BEIJA FLORES, N. 257, Apto 103, LT32, QD A47 LOT ALGARVE|RUA BEIJA FLORES, N. 257, Apto 103, LT32, QD A47 LOT ALGARVE, JARDIM ALGARVE, ALVORADA - RS|Venda|R$ 159.450,34|Apartamento||Apartamento, 36.96 de área total, 30.31 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.|0.0|R$ 138.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444437103006|Leilão SFI - Edital Único|RS|ALVORADA|JARDIM ALGARVE|30.31 m²
8444407748564|https://venda-imoveis.caixa.gov.br/fotos/F844440774856421.jpg|https://venda-imoveis.caixa.gov.br/fotos/F844440774856421.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844440774856422.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844440774856423.jpg|RUA CANGUCU, N. SN, FRACAO 04 LT 10 QD K|RUA CANGUCU, N. SN, FRACAO 04 LT 10 QD K, TIJUCA, ALVORADA - RS|Venda|R$ 104.705,72|Terreno||Terreno, 0.00 de área total, 0.00 de área privativa, 365.00 de área do terreno.|0.0|R$ 80.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407748564|Leilão SFI - Edital Único|RS|ALVORADA|TIJUCA|365.00 m²
1444419384556|https://venda-imoveis.caixa.gov.br/fotos/F144441938455621.jpg|https://venda-imoveis.caixa.gov.br/fotos/F144441938455621.jpg;https://venda-imoveis.caixa.gov.br/fotos/F144441938455622.jpg;https://venda-imoveis.caixa.gov.br/fotos/F144441938455623.jpg|RUA IVA SPARRENBERGER KONRATH, N. 109, LT 12 QD 125 ST 104|RUA IVA SPARRENBERGER KONRATH, N. 109, LT 12 QD 125 ST 104, AZALEIA, ARARICA - RS|Venda|R$ 763.095,44|Casa||Casa, 119.74 de área total, 119.74 de área privativa, 300.00 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.|0.0|R$ 439.400,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419384556|Leilão SFI - Edital Único|RS|ARARICA|AZALEIA|119.74 m²
1444421255750|https://venda-imoveis.caixa.gov.br/fotos/F144442125575021.jpg|https://venda-imoveis.caixa.gov.br/fotos/F144442125575021.jpg;https://venda-imoveis.caixa.gov.br/fotos/F144442125575022.jpg;https://venda-imoveis.caixa.gov.br/fotos/F144442125575023.jpg|R MARAU, N. 1530, LT 2, QD 17|R MARAU, N. 1530, LT 2, QD 17, BAIRRO MEDIANEIRA, ARROIO DO MEIO - RS|Venda|R$ 272.639,19|Casa||Casa, 68.35 de área total, 38.35 de área privativa, 370.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.|0.0|R$ 240.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421255750|Leilão SFI - Edital Único|RS|ARROIO DO MEIO|BAIRRO MEDIANEIRA|38.35 m²
1555534273356|https://venda-imoveis.caixa.gov.br/fotos/F155553427335621.jpg|https://venda-imoveis.caixa.gov.br/fotos/F155553427335621.jpg;https://venda-imoveis.caixa.gov.br/fotos/F155553427335622.jpg;https://venda-imoveis.caixa.gov.br/fotos/F155553427335623.jpg|RUA CEARA, N. 4026, LT 12 QD 45|RUA CEARA, N. 4026, LT 12 QD 45, CENTRO, ARROIO DO SAL - RS|Venda|R$ 246.500,00|Casa||Casa, 96.00 de área total, 63.68 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.|0.0|R$ 246.500,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555534273356|Leilão SFI - Edital Único|RS|ARROIO DO SAL|CENTRO|63.68 m²
